record_id,data_source,respondent_type,location,property_type,bedrooms,bathrooms,furnished_status,parking,security,road_access,amenities_count,monthly_rent_rwf,review_note
SURV-00081,Primary survey,Tenant,Biryogo,House,3,1,Unfurnished,Yes,No,Average,1,190000,
SURV-00324,Primary survey,Landlord,Bumbogo,House,4,2,Unfurnished,No,No,Good,1,200000,
SURV-00167,Primary survey,Real Estate Agent,Bumbogo,House,3,2,Unfurnished,Yes,No,Poor,2,490000,
SURV-00278,Primary survey,Tenant,Bumbogo,Single Room,1,1,Unfurnished,No,No,Average,1,50000,
SURV-00264,Primary survey,Other,Bumbogo,Single Room,1,1,Unknown,Unknown,Unknown,Poor,1,90000,
SURV-00281,Primary survey,Other,Busanza,Apartment,1,1,Unfurnished,No,No,Average,2,90000,
SURV-00175,Primary survey,Tenant,Busanza,Apartment,3,2,Furnished,Yes,Yes,Good,5,600000,
SURV-00282,Primary survey,Tenant,Busanza,House,2,1,Unfurnished,No,No,Poor,2,130000,
SURV-00173,Primary survey,Tenant,Busanza,House,2,1,Unfurnished,No,Yes,Good,3,150000,
SURV-00283,Primary survey,Tenant,Busanza,House,3,1,Unfurnished,No,No,Poor,1,160000,
SURV-00284,Primary survey,Other,Busanza,Single Room,1,1,Unfurnished,No,No,Poor,1,60000,
SURV-00031,Primary survey,Tenant,Bweramvura,House,5,4,Unfurnished,Yes,Yes,Average,7,700000,
SURV-00034,Primary survey,Real Estate Agent,Gacuriro,Apartment,3,3,Furnished,Yes,Yes,Good,9,1,Very low rent; review before model training
SURV-00041,Primary survey,Landlord,Gacuriro,Apartment,2,1,Furnished,Yes,Yes,Good,3,700000,
SURV-00056,Primary survey,Real Estate Agent,Gacuriro,Apartment,5,2,Furnished,Yes,No,Good,5,2000000,
SURV-00176,Primary survey,Other,Gacuriro,Apartment,5,3,Furnished,Yes,Yes,Good,8,6000000,
SURV-05380,Primary survey,Real Estate Agent,Gacuriro,Apartment,3,3,Furnished,Yes,Yes,Good,9,13000000,Very high rent; review before model training
SURV-00318,Primary survey,Other,Gacuriro,House,5,2,Unfurnished,No,No,Average,1,300000,
SURV-00022,Primary survey,Other,Gacuriro,House,2,1,Unfurnished,Yes,Yes,Good,2,500000,
SURV-00129,Primary survey,Tenant,Gacuriro,House,2,2,Unfurnished,Yes,Yes,Good,8,500000,
SURV-00189,Primary survey,Tenant,Gahanga,Apartment,3,2,Semi-Furnished,Yes,Yes,Poor,5,400000,
SURV-00053,Primary survey,Real Estate Agent,Gahanga,Apartment,4,2,Furnished,Yes,Yes,Good,7,1500000,
SURV-00105,Primary survey,Landlord,Gahanga,Apartment,6,4,Furnished,Yes,Yes,Good,10,2000000,
SURV-00139,Primary survey,Landlord,Gahanga,Apartment,6,5,Furnished,Yes,Yes,Good,8,3200000,
SURV-00328,Primary survey,Other,Gahanga,House,2,1,Unknown,Unknown,Unknown,Unknown,1,60000,
SURV-00187,Primary survey,Tenant,Gahanga,House,3,1,Unfurnished,No,Yes,Poor,3,180000,
SURV-00294,Primary survey,Landlord,Gahanga,House,4,3,Unfurnished,Yes,Yes,Good,5,1000000,
SURV-00276,Primary survey,Tenant,Gahanga,Single Room,1,1,Unfurnished,No,No,Average,1,100000,
SURV-00212,Primary survey,Landlord,Gasabo,Other,2,1,Unfurnished,No,Yes,Average,1,150000,
SURV-00127,Primary survey,Tenant,Gasanze,Apartment,3,2,Semi-Furnished,Yes,Yes,Good,6,400000,
SURV-00152,Primary survey,Landlord,Gasanze,Studio,1,1,Semi-Furnished,Yes,Yes,Average,3,60000,
SURV-00055,Primary survey,Real Estate Agent,Gasogi,Apartment,6,3,Furnished,Yes,Yes,Average,7,1800000,
SURV-00190,Primary survey,Landlord,Gasyata,House,2,1,Unfurnished,No,No,Average,2,200000,
SURV-00289,Primary survey,Tenant,Gasyata,House,4,2,Furnished,No,No,Good,1,230000,
SURV-00135,Primary survey,Real Estate Agent,Gasyata,House,2,1,Unfurnished,No,No,Average,2,300000,
SURV-00077,Primary survey,Real Estate Agent,Gasyata,House,4,2,Furnished,Yes,No,Good,5,700000,
SURV-00236,Primary survey,Landlord,Gasyata,Single Room,1,1,Unfurnished,No,No,Poor,1,50000,
SURV-00072,Primary survey,Landlord,Gatenga,House,3,1,Furnished,Yes,Yes,Good,5,800000,
SURV-00042,Primary survey,Landlord,Gatsata,Apartment,3,2,Semi-Furnished,Yes,Yes,Average,4,250000,
SURV-00104,Primary survey,Tenant,Gatsata,House,2,1,Unfurnished,Yes,Yes,Good,4,200000,
SURV-00018,Primary survey,Real Estate Agent,Gatsata,Studio,2,1,Unfurnished,Yes,No,Poor,5,400000,
SURV-00246,Primary survey,Other,Gikomera,House,3,1,Unknown,Unknown,Unknown,Poor,1,175000,
SURV-00091,Primary survey,Real Estate Agent,Gikomero,House,3,1,Unfurnished,No,Yes,Poor,3,180000,
SURV-00237,Primary survey,Real Estate Agent,Gikomero,House,3,1,Unfurnished,No,No,Poor,1,185000,
SURV-00155,Primary survey,Landlord,Gikomero,House,4,1,Unfurnished,No,No,Average,5,340000,
SURV-00150,Primary survey,Landlord,Gikomero,House,3,1,Unfurnished,No,No,Average,3,400000,
SURV-00121,Primary survey,Other,Gikomero,House,3,1,Semi-Furnished,No,No,Good,4,800000,
SURV-00181,Primary survey,Landlord,Gikomero,Studio,2,1,Furnished,Yes,No,Good,2,1000000,
SURV-02730,Primary survey,Tenant,Gikondo,Apartment,1,1,Furnished,No,Yes,Good,5,100000,
SURV-03661,Primary survey,Landlord,Gikondo,Apartment,1,1,Furnished,Yes,Yes,Average,4,100000,
SURV-04512,Primary survey,Other,Gikondo,Apartment,1,1,Furnished,Yes,No,Average,4,100000,
SURV-05017,Primary survey,Tenant,Gikondo,Apartment,1,1,Semi-Furnished,Yes,Yes,Unknown,2,100000,
SURV-01176,Primary survey,Tenant,Gikondo,Apartment,1,1,Furnished,No,Yes,Average,3,120000,
SURV-01669,Primary survey,Tenant,Gikondo,Apartment,1,1,Semi-Furnished,Yes,Yes,Average,2,120000,
SURV-04844,Primary survey,Tenant,Gikondo,Apartment,1,1,Unfurnished,Yes,Yes,Good,1,120000,
SURV-00862,Primary survey,Tenant,Gikondo,Apartment,1,1,Unfurnished,Yes,Yes,Good,2,140000,
SURV-01533,Primary survey,Tenant,Gikondo,Apartment,1,1,Furnished,Yes,Yes,Average,2,140000,
SURV-02519,Primary survey,Other,Gikondo,Apartment,1,1,Unfurnished,Yes,Yes,Average,1,140000,
SURV-03836,Primary survey,Tenant,Gikondo,Apartment,1,1,Unfurnished,Yes,Yes,Average,4,160000,
SURV-03062,Primary survey,Real Estate Agent,Gikondo,Apartment,1,1,Unfurnished,No,No,Good,2,180000,
